id,news_keywords,end,entity_group,score,start,word
0,Ableismus,,,,,
0,Abwertung,,,,,
0,Adipositas,,,,,
0,Ageismus,,,,,
0,Antidiskriminierung,,,,,
0,Arbeit am Körper,,,,,
0,Arbeit am Selbst,,,,,
0,Asiye Sel,,,,,
0,Attraktivität,,,,,
0,Aussehen,,,,,
0,Äußerlichkeiten,,,,,
0,Ausgrenzung,,,,,
0,Bekleidungsvorschriften,,,,,
0,Benachteiligung,,,,,
0,Birgit Sauer,12.0,PER,0.9994425773620605,0.0,Birgit Sauer
0,Body-Shaming,,,,,
0,Bodyshaming,,,,,
0,Care-Arbeit,,,,,
0,Catch-22,,,,,
0,Cesare Lombroso,15.0,PER,0.9996737241744995,0.0,Cesare Lombroso
0,Christian Berger,16.0,PER,0.9999809265136719,0.0,Christian Berger
0,Deutungshoheit,,,,,
0,Dicke,5.0,PER,0.8767355680465698,0.0,Dicke
0,dicke Menschen,,,,,
0,Dickenhass,10.0,LOC,0.6783350110054016,0.0,Dickenhass
0,Diskriminierung,,,,,
0,Diskriminierungsschutz,,,,,
0,Disziplinierung,,,,,
0,Elisabeth Lechnerm,18.0,PER,0.9995719790458679,0.0,Elisabeth Lechnerm
0,Fatshaming,,,,,
0,Fettleibigkeit,,,,,
0,Frauen,,,,,
0,Frauendiskriminierung,,,,,
0,Frauenkörper,,,,,
0,Frauenrechte,,,,,
0,Fremdwahrnehmung,,,,,
0,Gender Pay Gap,,,,,
0,Genderregime,,,,,
0,Gender Wage Gap,,,,,
0,Geschlechtsdiskriminierung,,,,,
0,Geschlechterrollen,,,,,
0,Geschlechterstereotype,,,,,
0,Geschlechterverhältnisse,,,,,
0,Geschlechtsidentität,,,,,
0,geschlechtsspezifisches Lohngefälle,,,,,
0,gesellschaftliche Akzeptanz,,,,,
0,Gewichtsdiskriminierung,,,,,
0,Gleichbehandlung,,,,,
0,Gleichstellung,,,,,
0,Gleichstellungsgebot,,,,,
0,Grooming Gap,,,,,
0,Gruppendruck,,,,,
0,Gruppenzugehörigkeit,,,,,
0,Gruppenzwang,,,,,
0,Herabwürdigung,,,,,
0,Hypersichtbarkeit,,,,,
0,Idealisierung,,,,,
0,Ingrid Moritz,13.0,PER,0.9999313950538635,0.0,Ingrid Moritz
0,Konditionierung,,,,,
0,Konsumismus,,,,,
0,Konsumzwang,,,,,
0,Körperarbeit,,,,,
0,Körperbeschämung,,,,,
0,Körperbilder,,,,,
0,körperlicher Merkmale,,,,,
0,Körperpflege,,,,,
0,Körperlichkeit,,,,,
0,Körperpolitiken,,,,,
0,Körpersymbole,,,,,
0,kulturelle Norm,,,,,
0,kultureller Druck,,,,,
0,Leistungsgesellschaft,,,,,
0,Lohnlücke,,,,,
0,Lookism,,,,,
0,Lookismus,,,,,
0,Marktmacht,,,,,
0,Modeschule Hetzendorf,21.0,ORG,0.9999513626098633,0.0,Modeschule Hetzendorf
0,Neoliberalismus,,,,,
0,Normenordnung,,,,,
0,Österreich,10.0,LOC,0.9977449178695679,0.0,Österreich
0,Physiognomik,,,,,
0,Pink Tax,,,,,
0,Rollenverteilung,,,,,
0,Roxane Gay,10.0,PER,0.9991865754127502,0.0,Roxane Gay
0,Schönheit,,,,,
0,Schönheitsarbeit,,,,,
0,Schönheitsdruck,,,,,
0,Schönheitsideale,,,,,
0,Schönheitskapital,,,,,
0,Schönheitswahn,,,,,
0,Selbstwertgefühl,,,,,
0,Sexismus,,,,,
0,sexistische Werbung,,,,,
0,Sex sells,,,,,
0,Schubladendenken,,,,,
0,Sorgearbeit,,,,,
0,sozioökonomische Relevanz,,,,,
0,Stereotypisierung,,,,,
0,Stigmatisierung,,,,,
0,strukturelle Diskriminierung,,,,,
0,Übergewichtige,,,,,
0,UN-Frauenrechtskonvention,25.0,MISC,0.9994381666183472,0.0,UN-Frauenrechtskonvention
0,Unterdrückung,,,,,
0,Verachtung,,,,,
0,Vorurteile,,,,,
0,Wunschkörper,,,,,
1,Arbeiterverrat,,,,,
1,Arbeiterverräter,,,,,
1,Arbeitsplatzvernichtung,,,,,
1,Arbeitsintensität,,,,,
1,Armut,,,,,
1,Austeritätspolitik,,,,,
1,Bündnis 90/Die Grünen,21.0,ORG,0.9994268417358398,0.0,Bündnis 90/Die Grünen
1,Bündnisgrüne,12.0,ORG,0.9412700533866882,0.0,Bündnisgrüne
1,Burschenschaft Marchia,22.0,ORG,0.999733567237854,0.0,Burschenschaft Marchia
1,Carsten Szczepanski,19.0,PER,0.9999914169311523,0.0,Carsten Szczepanski
1,Deutsche Burschenschaft,23.0,ORG,0.9999678134918213,0.0,Deutsche Burschenschaft
1,DGB-Index Gute Arbeit,9.0,MISC,0.9056988954544067,0.0,DGB-Index
1,Etikettenschwindel,,,,,
1,Die Grünen,10.0,ORG,0.9999641180038452,4.0,Grünen
1,Dirk Müller,11.0,PER,0.9999890923500061,0.0,Dirk Müller
1,Drei-Parteien-Koalition,,,,,
1,Finanzierungsvorbehalt,,,,,
1,Fleischtöpfe,,,,,
1,Gordian Meyer-Plath,19.0,PER,0.9998666644096375,0.0,Gordian Meyer-Plath
1,Humankapitalisierung,,,,,
1,IG Metall,9.0,ORG,0.9999746680259705,0.0,IG Metall
1,IGM,3.0,ORG,0.9999160766601562,0.0,IGM
1,Industriegewerkschaft Metall,28.0,ORG,0.9999250173568726,0.0,Industriegewerkschaft Metall
1,Initiative Neue Soziale Marktwirtschaft,39.0,ORG,0.9999647736549377,0.0,Initiative Neue Soziale Marktwirtschaft
1,INSM,4.0,ORG,0.9999104738235474,0.0,INSM
1,Kenia-Koalition,8.0,MISC,0.9118264317512512,0.0,Kenia-Ko
1,Koalitionsvertrag,,,,,
1,Lehrermangel,,,,,
1,Lehrernot,,,,,
1,Lohnverzicht,,,,,
1,Michael Kretschmer,18.0,PER,0.9999786615371704,0.0,Michael Kretschmer
1,Olivier Höbel,13.0,PER,0.9999848008155823,0.0,Olivier Höbel
1,Piatto,,,,,
1,Rechtsextremismus,,,,,
1,Rechtsruck,,,,,
