id,topic_label,end,entity_group,score,start,word
0,frauen,,,,,
0,arbeiter,,,,,
0,innen,,,,,
0,innenklasse,,,,,
1,mehr,,,,,
1,menschen,,,,,
1,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
1,wurde,,,,,
2,ard,,,,,
2,medien,,,,,
2,schon,,,,,
2,journalisten,,,,,
3,mehr,,,,,
3,menschen,,,,,
3,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
3,wurde,,,,,
4,mehr,,,,,
4,menschen,,,,,
4,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
4,wurde,,,,,
5,prozent,,,,,
5,000,,,,,
5,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
5,mehr,,,,,
6,mehr,,,,,
6,menschen,,,,,
6,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
6,wurde,,,,,
7,prozent,,,,,
7,000,,,,,
7,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
7,mehr,,,,,
8,eu,,,,,
8,brexit,6.0,MISC,0.976020336151123,0.0,brexit
8,europäischen,12.0,MISC,0.677300214767456,0.0,europäischen
8,europa,6.0,LOC,0.9995255470275879,0.0,europa
9,türkei,4.0,LOC,0.9529076218605042,0.0,türk
9,eu,,,,,
9,erdogan,2.0,LOC,0.41701918840408325,0.0,er
9,erdogan,4.0,MISC,0.299383282661438,2.0,do
9,erdogan,7.0,PER,0.4323715269565582,4.0,gan
9,türkische,4.0,MISC,0.9963722229003906,0.0,türk
11,prozent,,,,,
11,000,,,,,
11,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
11,mehr,,,,,
12,mehr,,,,,
12,menschen,,,,,
12,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
12,wurde,,,,,
13,mehr,,,,,
13,menschen,,,,,
13,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
13,wurde,,,,,
14,mehr,,,,,
14,menschen,,,,,
14,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
14,wurde,,,,,
15,mehr,,,,,
15,menschen,,,,,
15,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
15,wurde,,,,,
16,prozent,,,,,
16,000,,,,,
16,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
16,mehr,,,,,
19,prozent,,,,,
19,000,,,,,
19,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
19,mehr,,,,,
20,mehr,,,,,
20,menschen,,,,,
20,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
20,wurde,,,,,
21,ard,,,,,
21,medien,,,,,
21,schon,,,,,
21,journalisten,,,,,
22,täter,,,,,
22,wurde,,,,,
22,polizei,,,,,
22,mann,,,,,
23,mehr,,,,,
23,menschen,,,,,
23,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
23,wurde,,,,,
24,mehr,,,,,
24,menschen,,,,,
24,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
24,wurde,,,,,
25,mehr,,,,,
25,menschen,,,,,
25,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
25,wurde,,,,,
26,mehr,,,,,
26,menschen,,,,,
26,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
26,wurde,,,,,
27,mehr,,,,,
27,menschen,,,,,
27,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
27,wurde,,,,,
30,mehr,,,,,
30,menschen,,,,,
30,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
30,wurde,,,,,
31,prozent,,,,,
31,000,,,,,
31,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
31,mehr,,,,,
32,mehr,,,,,
32,menschen,,,,,
32,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
32,wurde,,,,,
33,russland,8.0,LOC,0.9994206428527832,0.0,russland
33,putin,,,,,
33,ukraine,7.0,LOC,0.9658682942390442,0.0,ukraine
33,russischen,9.0,MISC,0.9996366500854492,0.0,russische
34,mehr,,,,,
34,menschen,,,,,
34,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
34,wurde,,,,,
38,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
38,menschen,,,,,
38,deutschen,9.0,MISC,0.998323380947113,0.0,deutschen
38,mehr,,,,,
39,ard,,,,,
39,medien,,,,,
39,schon,,,,,
39,journalisten,,,,,
40,eu,,,,,
40,brexit,6.0,MISC,0.976020336151123,0.0,brexit
40,europäischen,12.0,MISC,0.677300214767456,0.0,europäischen
40,europa,6.0,LOC,0.9995255470275879,0.0,europa
41,mehr,,,,,
41,menschen,,,,,
41,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
41,wurde,,,,,
42,mehr,,,,,
42,menschen,,,,,
42,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
42,wurde,,,,,
43,mehr,,,,,
43,menschen,,,,,
43,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
43,wurde,,,,,
44,mexiko,6.0,LOC,0.9997718930244446,0.0,mexiko
44,trump,5.0,PER,0.9987305998802185,0.0,trump
44,us,,,,,
44,usa,3.0,LOC,0.9006127715110779,0.0,usa
45,mehr,,,,,
45,menschen,,,,,
45,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
45,wurde,,,,,
46,mehr,,,,,
46,menschen,,,,,
46,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
46,wurde,,,,,
47,mehr,,,,,
47,menschen,,,,,
47,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
47,wurde,,,,,
48,türkei,4.0,LOC,0.9529076218605042,0.0,türk
48,eu,,,,,
48,erdogan,2.0,LOC,0.41701918840408325,0.0,er
48,erdogan,4.0,MISC,0.299383282661438,2.0,do
48,erdogan,7.0,PER,0.4323715269565582,4.0,gan
48,türkische,4.0,MISC,0.9963722229003906,0.0,türk
50,mehr,,,,,
50,menschen,,,,,
50,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
50,wurde,,,,,
52,mehr,,,,,
52,menschen,,,,,
52,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
52,wurde,,,,,
54,mehr,,,,,
54,menschen,,,,,
54,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
54,wurde,,,,,
56,mehr,,,,,
56,menschen,,,,,
56,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
56,wurde,,,,,
57,mehr,,,,,
57,menschen,,,,,
57,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
57,wurde,,,,,
58,mehr,,,,,
58,menschen,,,,,
58,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
58,wurde,,,,,
62,mehr,,,,,
62,menschen,,,,,
62,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
62,wurde,,,,,
64,mehr,,,,,
64,menschen,,,,,
64,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
64,wurde,,,,,
65,prozent,,,,,
65,000,,,,,
65,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
65,mehr,,,,,
67,merkel,6.0,PER,0.9980149269104004,0.0,merkel
67,kanzlerin,,,,,
67,angela,6.0,PER,0.9616423845291138,0.0,angela
67,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
68,trump,5.0,PER,0.9987305998802185,0.0,trump
68,biden,,,,,
68,demokraten,8.0,ORG,0.9995044469833374,0.0,demokrat
68,us,,,,,
69,mehr,,,,,
69,menschen,,,,,
69,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
69,wurde,,,,,
71,mehr,,,,,
71,menschen,,,,,
71,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
71,wurde,,,,,
76,eu,,,,,
76,brexit,6.0,MISC,0.976020336151123,0.0,brexit
76,europäischen,12.0,MISC,0.677300214767456,0.0,europäischen
76,europa,6.0,LOC,0.9995255470275879,0.0,europa
77,ard,,,,,
77,medien,,,,,
77,schon,,,,,
77,journalisten,,,,,
79,mehr,,,,,
79,menschen,,,,,
79,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
79,wurde,,,,,
80,mehr,,,,,
80,menschen,,,,,
80,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
80,wurde,,,,,
81,mehr,,,,,
81,menschen,,,,,
81,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
81,wurde,,,,,
82,mehr,,,,,
82,menschen,,,,,
82,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
82,wurde,,,,,
83,mehr,,,,,
83,menschen,,,,,
83,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
83,wurde,,,,,
84,mehr,,,,,
84,menschen,,,,,
84,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
84,wurde,,,,,
85,polizei,,,,,
85,polizisten,,,,,
85,reul,,,,,
85,innen,,,,,
86,syrien,2.0,MISC,0.8766979575157166,0.0,sy
86,syrischen,3.0,MISC,0.9900684952735901,0.0,syr
86,idlib,,,,,
86,al,,,,,
87,mehr,,,,,
87,menschen,,,,,
87,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
87,wurde,,,,,
88,mehr,,,,,
88,menschen,,,,,
88,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
88,wurde,,,,,
89,trump,5.0,PER,0.9987305998802185,0.0,trump
89,biden,,,,,
89,demokraten,8.0,ORG,0.9995044469833374,0.0,demokrat
89,us,,,,,
90,mehr,,,,,
90,menschen,,,,,
90,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
90,wurde,,,,,
91,mehr,,,,,
91,menschen,,,,,
91,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
91,wurde,,,,,
92,eu,,,,,
92,brexit,6.0,MISC,0.976020336151123,0.0,brexit
92,europäischen,12.0,MISC,0.677300214767456,0.0,europäischen
92,europa,6.0,LOC,0.9995255470275879,0.0,europa
93,eu,,,,,
93,kommission,,,,,
93,staaten,,,,,
93,seehofer,8.0,PER,0.9950955510139465,0.0,seehofer
94,mehr,,,,,
94,menschen,,,,,
94,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
94,wurde,,,,,
95,mehr,,,,,
95,menschen,,,,,
95,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
95,wurde,,,,,
96,mehr,,,,,
96,menschen,,,,,
96,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
96,wurde,,,,,
97,eu,,,,,
97,brexit,6.0,MISC,0.976020336151123,0.0,brexit
97,europäischen,12.0,MISC,0.677300214767456,0.0,europäischen
97,europa,6.0,LOC,0.9995255470275879,0.0,europa
98,mehr,,,,,
98,menschen,,,,,
98,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
98,wurde,,,,,
99,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
99,anträge,,,,,
99,000,,,,,
99,prozent,,,,,
100,türkei,4.0,LOC,0.9529076218605042,0.0,türk
100,eu,,,,,
100,erdogan,2.0,LOC,0.41701918840408325,0.0,er
100,erdogan,4.0,MISC,0.299383282661438,2.0,do
100,erdogan,7.0,PER,0.4323715269565582,4.0,gan
100,türkische,4.0,MISC,0.9963722229003906,0.0,türk
101,libyen,6.0,LOC,0.9989386200904846,0.0,libyen
101,sea,,,,,
101,bord,,,,,
101,schiff,,,,,
102,mehr,,,,,
102,menschen,,,,,
102,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
102,wurde,,,,,
103,merkel,6.0,PER,0.9980149269104004,0.0,merkel
103,kanzlerin,,,,,
103,angela,6.0,PER,0.9616423845291138,0.0,angela
103,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
104,libyen,6.0,LOC,0.9989386200904846,0.0,libyen
104,sea,,,,,
104,bord,,,,,
104,schiff,,,,,
105,merkel,6.0,PER,0.9980149269104004,0.0,merkel
105,kanzlerin,,,,,
105,angela,6.0,PER,0.9616423845291138,0.0,angela
105,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
106,salvini,7.0,PER,0.9919052124023438,0.0,salvini
106,italien,7.0,LOC,0.9285050630569458,0.0,italien
106,lega,,,,,
106,matteo,6.0,PER,0.99651700258255,0.0,matteo
107,corona,,,,,
107,pandemie,,,,,
107,menschen,,,,,
107,covid,,,,,
108,mehr,,,,,
108,menschen,,,,,
108,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
108,wurde,,,,,
109,moria,4.0,LOC,0.5566675662994385,0.0,mori
109,lesbos,,,,,
109,griechischen,6.0,MISC,0.9960249066352844,0.0,griech
109,lager,,,,,
110,prozent,,,,,
110,000,,,,,
110,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
110,mehr,,,,,
111,mehr,,,,,
111,menschen,,,,,
111,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
111,wurde,,,,,
113,libyen,6.0,LOC,0.9989386200904846,0.0,libyen
113,sea,,,,,
113,bord,,,,,
113,schiff,,,,,
114,täter,,,,,
114,wurde,,,,,
114,polizei,,,,,
114,mann,,,,,
115,mehr,,,,,
115,menschen,,,,,
115,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
115,wurde,,,,,
116,mexiko,6.0,LOC,0.9997718930244446,0.0,mexiko
116,trump,5.0,PER,0.9987305998802185,0.0,trump
116,us,,,,,
116,usa,3.0,LOC,0.9006127715110779,0.0,usa
117,mehr,,,,,
117,menschen,,,,,
117,deutschland,11.0,LOC,0.9299898147583008,0.0,deutschland
117,wurde,,,,,
119,trump,5.0,PER,0.9987305998802185,0.0,trump
119,biden,,,,,
119,demokraten,8.0,ORG,0.9995044469833374,0.0,demokrat
119,us,,,,,
120,salvini,7.0,PER,0.9919052124023438,0.0,salvini
120,italien,7.0,LOC,0.9285050630569458,0.0,italien
120,lega,,,,,
120,matteo,6.0,PER,0.99651700258255,0.0,matteo
121,libyen,6.0,LOC,0.9989389181137085,0.0,libyen
121,sea,,,,,
121,bord,,,,,
121,schiff,,,,,
122,mehr,,,,,
122,menschen,,,,,
122,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
122,wurde,,,,,
123,mehr,,,,,
123,menschen,,,,,
123,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
123,wurde,,,,,
124,mehr,,,,,
124,menschen,,,,,
124,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
124,wurde,,,,,
125,libyen,6.0,LOC,0.9989389181137085,0.0,libyen
125,sea,,,,,
125,bord,,,,,
125,schiff,,,,,
126,türkei,4.0,LOC,0.9534242749214172,0.0,türk
126,eu,,,,,
126,erdogan,2.0,LOC,0.4170123040676117,0.0,er
126,erdogan,4.0,MISC,0.29846635460853577,2.0,do
126,erdogan,7.0,PER,0.43373605608940125,4.0,gan
126,türkische,4.0,MISC,0.9964038133621216,0.0,türk
127,mehr,,,,,
127,menschen,,,,,
127,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
127,wurde,,,,,
128,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
128,wurde,,,,,
128,sagt,,,,,
128,familie,,,,,
129,merkel,6.0,PER,0.9980153441429138,0.0,merkel
129,kanzlerin,,,,,
129,angela,6.0,PER,0.9616942405700684,0.0,angela
129,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
130,eu,,,,,
130,kommission,,,,,
130,staaten,,,,,
130,seehofer,8.0,PER,0.9950897693634033,0.0,seehofer
131,mehr,,,,,
131,menschen,,,,,
131,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
131,wurde,,,,,
132,mehr,,,,,
132,menschen,,,,,
132,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
132,wurde,,,,,
133,libyen,6.0,LOC,0.9989389181137085,0.0,libyen
133,sea,,,,,
133,bord,,,,,
133,schiff,,,,,
134,eu,,,,,
134,kommission,,,,,
134,staaten,,,,,
134,seehofer,8.0,PER,0.9950897693634033,0.0,seehofer
135,mehr,,,,,
135,menschen,,,,,
135,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
135,wurde,,,,,
136,mexiko,6.0,LOC,0.999770998954773,0.0,mexiko
136,trump,5.0,PER,0.9987180233001709,0.0,trump
136,us,,,,,
136,usa,3.0,LOC,0.9001071453094482,0.0,usa
137,mehr,,,,,
137,menschen,,,,,
137,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
137,wurde,,,,,
138,libyen,6.0,LOC,0.9989389181137085,0.0,libyen
138,sea,,,,,
138,bord,,,,,
138,schiff,,,,,
139,mehr,,,,,
139,menschen,,,,,
139,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
139,wurde,,,,,
140,mehr,,,,,
140,menschen,,,,,
140,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
140,wurde,,,,,
141,türkei,4.0,LOC,0.9534242749214172,0.0,türk
141,griechenland,12.0,LOC,0.999279260635376,0.0,griechenland
141,griechischen,6.0,MISC,0.996018648147583,0.0,griech
141,migranten,,,,,
142,mehr,,,,,
142,menschen,,,,,
142,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
142,wurde,,,,,
143,eu,,,,,
143,brexit,6.0,MISC,0.9759882688522339,0.0,brexit
143,europäischen,12.0,MISC,0.6782873868942261,0.0,europäischen
143,europa,6.0,LOC,0.9995259046554565,0.0,europa
144,moria,4.0,LOC,0.556119978427887,0.0,mori
144,lesbos,,,,,
144,griechischen,6.0,MISC,0.996018648147583,0.0,griech
144,lager,,,,,
145,libyen,6.0,LOC,0.9989389181137085,0.0,libyen
145,sea,,,,,
145,bord,,,,,
145,schiff,,,,,
146,mehr,,,,,
146,menschen,,,,,
146,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
146,wurde,,,,,
147,trump,5.0,PER,0.9987180233001709,0.0,trump
147,biden,,,,,
147,demokraten,8.0,ORG,0.999504566192627,0.0,demokrat
147,us,,,,,
148,türkei,4.0,LOC,0.9534242749214172,0.0,türk
148,griechenland,12.0,LOC,0.999279260635376,0.0,griechenland
148,griechischen,6.0,MISC,0.996018648147583,0.0,griech
148,migranten,,,,,
149,deutschland,11.0,LOC,0.9299231171607971,0.0,deutschland
149,anträge,,,,,
149,000,,,,,
149,prozent,,,,,
150,moria,4.0,LOC,0.556119978427887,0.0,mori
